card,data,color,fileName,fileLead,fileSummary,cardnName,cardLat,cardLong,cardHeight,cardDescription,entry,cardDuration,ExtraDescriptoin
0,france.geojson,"rgba(0,0,255,0.5)",Phoney War,France and the Great Britain declare war on Germany following the invasion of Poland.,"France and the Great Britain declared war on Germany following the invasion of Poland in fall of 1939. A period of eight months followed, known as the Phoney War, in which direct confrontations between the Allies (France and Great Britain) and Germany were minimal. In the meantime, the Soviets invaded Finland and Germany, hoping to prevent an Allied protective invasion through Scandinavia, invaded Denmark and Norway. During this period, British Prime Minister Neville Chamberlain was under increasing pressure to resign due to his failed policies of appeasement towards Germany in the years preceeding the invasion of Poland. ",Phoney War,43.1302,5.6196,0.3499,,1,8,
0,germany.geojson,"rgba(250,0,0,0.5)",Phoney War,France and the Great Britain declare war on Germany following the invasion of Poland.,"France and the Great Britain declared war on Germany following the invasion of Poland in fall of 1939. A period of eight months followed, known as the Phoney War, in which direct confrontations between the Allies (France and Great Britain) and Germany were minimal. In the meantime, the Soviets invaded Finland and Germany, hoping to prevent an Allied protective invasion through Scandinavia, invaded Denmark and Norway. During this period, British Prime Minister Neville Chamberlain was under increasing pressure to resign due to his failed policies of appeasement towards Germany in the years preceeding the invasion of Poland. ",Phoney War,43.1302,5.6196,0.3499,,2,8,
0,UK.geojson,"rgba(0,0,255,0.5)",Phoney War,France and the Great Britain declare war on Germany following the invasion of Poland.,"France and the Great Britain declared war on Germany following the invasion of Poland in fall of 1939. A period of eight months followed, known as the Phoney War, in which direct confrontations between the Allies (France and Great Britain) and Germany were minimal. In the meantime, the Soviets invaded Finland and Germany, hoping to prevent an Allied protective invasion through Scandinavia, invaded Denmark and Norway. During this period, British Prime Minister Neville Chamberlain was under increasing pressure to resign due to his failed policies of appeasement towards Germany in the years preceeding the invasion of Poland. ",Phoney War,43.1302,5.6196,0.3499,,3,8,
0,belgium.geojson,"rgba(150,150,150,0.5)",Phoney War,France and the Great Britain declare war on Germany following the invasion of Poland.,"France and the Great Britain declared war on Germany following the invasion of Poland in fall of 1939. A period of eight months followed, known as the Phoney War, in which direct confrontations between the Allies (France and Great Britain) and Germany were minimal. In the meantime, the Soviets invaded Finland and Germany, hoping to prevent an Allied protective invasion through Scandinavia, invaded Denmark and Norway. During this period, British Prime Minister Neville Chamberlain was under increasing pressure to resign due to his failed policies of appeasement towards Germany in the years preceeding the invasion of Poland. ",Phoney War,43.1302,5.6196,0.3499,,4,8,
0,lux.geojson,"rgba(150,150,150,0.5)",Phoney War,France and the Great Britain declare war on Germany following the invasion of Poland.,"France and the Great Britain declared war on Germany following the invasion of Poland in fall of 1939. A period of eight months followed, known as the Phoney War, in which direct confrontations between the Allies (France and Great Britain) and Germany were minimal. In the meantime, the Soviets invaded Finland and Germany, hoping to prevent an Allied protective invasion through Scandinavia, invaded Denmark and Norway. During this period, British Prime Minister Neville Chamberlain was under increasing pressure to resign due to his failed policies of appeasement towards Germany in the years preceeding the invasion of Poland. ",Phoney War,43.1302,5.6196,0.3499,,5,8,
0,Netherlands.geojson,"rgba(150,150,150,0.5)",Phoney War,France and the Great Britain declare war on Germany following the invasion of Poland.,"France and the Great Britain declared war on Germany following the invasion of Poland in fall of 1939. A period of eight months followed, known as the Phoney War, in which direct confrontations between the Allies (France and Great Britain) and Germany were minimal. In the meantime, the Soviets invaded Finland and Germany, hoping to prevent an Allied protective invasion through Scandinavia, invaded Denmark and Norway. During this period, British Prime Minister Neville Chamberlain was under increasing pressure to resign due to his failed policies of appeasement towards Germany in the years preceeding the invasion of Poland. ",Phoney War,43.1302,5.6196,0.3499,,6,8,
1,belgium.geojson,"rgba(255,165,0,0.5)",France Fortifies the Maginot Line to the South,,"Expecting an invasion through the direct border between France and German, over 2 million French troops line the Maginot Line, a long line of heavy fortifications that spans the French border from Switzerland to Belgium. In what proved to be a costly decision, the French chose not to extend the fortifications up towards the sea along the coast of neutral Belgium.","April 31, 1940",45.7743,6.2636,0.1347,France and the United Kingdom Declared war on Germany following the invasion of Poland in fall of ,7,12,Phoney War
1,lux.geojson,"rgba(255,165,0,0.5)",France Fortifies the Maginot Line to the South,,"Expecting an invasion through the direct border between France and German, over 2 million French troops line the Maginot Line, a long line of heavy fortifications that spans the French border from Switzerland to Belgium. In what proved to be a costly decision, the French chose not to extend the fortifications up towards the sea along the coast of neutral Belgium.","April 31, 1940",45.7743,6.2636,0.1347,,8,12,Phoney War
1,Netherlands.geojson,"rgba(255,165,0,0.5)",France Fortifies the Maginot Line to the South,,"Expecting an invasion through the direct border between France and German, over 2 million French troops line the Maginot Line, a long line of heavy fortifications that spans the French border from Switzerland to Belgium. In what proved to be a costly decision, the French chose not to extend the fortifications up towards the sea along the coast of neutral Belgium.","April 31, 1940",45.7743,6.2636,0.1347,,9,12,Phoney War
2,May10German.geojson,"rgba(250,0,0,0.5)",Germany Invades the Low Countries,,"On May 10,  the German Army invades Holland, Belgium and Luxembourg, reaching almost all the way to Amsterdam on the first day. Luxembourg surrenders almost immediately. The French 1st Army Group and British Expeditionary Force rush northward to meet a retreating Dutch Army. Germany amasses Panzer units along the southern Ardennes forest, which French leaders believe to be impenetrable for tank units.",10-May-40,48.234,6.33,0.112,,10,8,German Lines May 10
